Threshold,Macro_F1,Precision,Recall,MCC,Accuracy,Precisions,Recalls,F1s,Support
0.2,0.5249175776505293,0.7488078541374474,0.5266994431345006,0.163009584417112,0.8945176960444136,[0.6        0.89761571],[0.05806452 0.99533437],[0.10588235 0.9439528 ],[ 155 1286]
0.25,0.6126344086021505,0.6305436435941136,0.6022995727569741,0.231123853946896,0.8140180430256766,[0.38953488 0.8715524 ],[0.29130435 0.9132948 ],[0.33333333 0.89193548],[ 230 1211]
0.3,0.6439838878151602,0.6742932985781293,0.63052247036118,0.3016567048670802,0.7807078417765441,[0.52017937 0.82840722],[0.35692308 0.90412186],[0.42335766 0.86461011],[ 325 1116]
0.35,0.6865712648759797,0.6808761634881029,0.6990948404756976,0.3795339822230417,0.7231089521165857,[0.52986513 0.8318872 ],[0.63953488 0.7586548 ],[0.57955743 0.7935851 ],[ 430 1011]
0.39999999999999997,0.6895785066861766,0.6873763466698706,0.693495289378562,0.3808224805422304,0.7057598889659958,[0.59310345 0.78164925],[0.64661654 0.74037404],[0.61870504 0.76045198],[532 909]
0.44999999999999996,0.6977099236641222,0.6973432292070383,0.698350278524405,0.3956922262472263,0.7002081887578071,[0.66015038 0.73453608],[0.68062016 0.7160804 ],[0.67022901 0.72519084],[645 796]
0.49999999999999994,0.7380072405271709,0.7416267942583732,0.7378326776209211,0.4794444596131164,0.739764052741152,[0.72727273 0.75598086],[0.79463087 0.68103448],[0.75946119 0.71655329],[745 696]
0.5499999999999999,0.7527911975233175,0.7509180881911028,0.7570699740511061,0.5079508102965875,0.758501040943789,[0.81795511 0.68388106],[0.76456876 0.74957118],[0.79036145 0.71522095],[858 583]
0.5999999999999999,0.7551694282728765,0.7597976210982875,0.7514653134338567,0.511195032130991,0.7827897293546149,[0.82413088 0.69546436],[0.85110876 0.65182186],[0.8374026  0.67293626],[947 494]
0.6499999999999999,0.736378704908774,0.7379714637438263,0.7348642318670863,0.47282548593949514,0.7931991672449688,[0.85552408 0.62041885],[0.86203616 0.60769231],[0.85876777 0.61398964],[1051  390]
0.7,0.7318560458306375,0.7547300744973977,0.7161250288616947,0.46926983582025267,0.8341429562803608,[0.87531381 0.63414634],[0.92077465 0.51147541],[0.8974689  0.56624319],[1136  305]
0.7499999999999998,0.7247640252124558,0.7397332880181908,0.7127311241158942,0.45165797611958164,0.8605135322692574,[0.90660225 0.57286432],[0.92981007 0.49565217],[0.91805952 0.53146853],[1211  230]
0.7999999999999998,0.6966522792637018,0.7511275608077436,0.6664329386645963,0.40888090160781465,0.8993754337265788,[0.92382375 0.57843137],[0.96640625 0.36645963],[0.94463536 0.4486692 ],[1280  161]
