Threshold	Macro_F1	Precision	Recall	MCC	Accuracy	Precisions	Recalls	F1s	Support
0.2	0.7251494533977132	0.7351882160392799	0.7162745196407967	0.4510663740474174	0.8986814712005552	[0.53191489 0.93846154]	[0.48387097 0.94867807]	[0.50675676 0.94354215]	[ 155 1286]
0.25	0.8240582912002707	0.8505671250166069	0.8031594442250385	0.6520053214003829	0.9118667591950035	[0.76683938 0.93429487]	[0.64347826 0.96284063]	[0.69976359 0.94835299]	[ 230 1211]
0.3	0.8384940858668316	0.8518806825258438	0.8271588089330025	0.6785893161012396	0.8910478834142956	[0.78571429 0.91804708]	[0.71076923 0.94354839]	[0.74636511 0.93062307]	[ 325 1116]
0.35	0.8425508641301594	0.8702756174102879	0.8246037770570239	0.6933768498111282	0.8757807078417765	[0.85959885 0.88095238]	[0.69767442 0.95153314]	[0.77021823 0.9148835 ]	[ 430 1011]
0.39999999999999997	0.863192310974569	0.8786808048575101	0.8533658817009521	0.7316088476548113	0.8764746703678001	[0.88478261 0.872579  ]	[0.76503759 0.94169417]	[0.82056452 0.90582011]	[532 909]
0.44999999999999996	0.8709308511296352	0.881660450786444	0.8667484710373573	0.7482603471556057	0.8743927827897293	[0.91428571 0.84903519]	[0.79379845 0.93969849]	[0.84979253 0.89206917]	[645 796]
0.49999999999999994	0.9000481686287356	0.902749250556039	0.9016074596929724	0.8043558998579156	0.9000693962526024	[0.94518519 0.86031332]	[0.85637584 0.94683908]	[0.89859155 0.90150479]	[745 696]
0.5499999999999999	0.8889942175543959	0.8858440405043262	0.8977877468443507	0.783540762195653	0.8910478834142956	[0.94993582 0.82175227]	[0.86247086 0.93310463]	[0.90409285 0.87389558]	[858 583]
0.5999999999999999	0.9197313857770626	0.9100202713551702	0.9366837103317958	0.8462840502021184	0.9250520471894518	[0.9849711  0.83506944]	[0.89968321 0.97368421]	[0.94039735 0.89906542]	[947 494]
0.6499999999999999	0.8691308691308692	0.8515740681130497	0.8996926004537803	0.7497240920131065	0.8889659958362248	[0.96845426 0.73469388]	[0.87630828 0.92307692]	[0.92007992 0.81818182]	[1051  390]
0.7	0.899996071755925	0.872125275310405	0.9437514430847379	0.8127265909942841	0.926439972241499	[0.99235182 0.75189873]	[0.91373239 0.97377049]	[0.95142071 0.84857143]	[1136  305]
0.7499999999999998	0.8432283911646874	0.812505385795288	0.8906042437080386	0.6987586990464085	0.9049271339347675	[0.97354497 0.6514658 ]	[0.91164327 0.86956522]	[0.94157783 0.74487896]	[1211  230]
0.7999999999999998	0.8397564208634694	0.8149627526032021	0.8713436529503105	0.6839866054096615	0.9306037473976405	[0.97351525 0.65641026]	[0.94765625 0.79503106]	[0.96041172 0.71910112]	[1280  161]
